Internal key	English source	Translation	Placeholders
$Whereabouts_NamedParent	Named parent		
$Whereabouts_Current	Current		
$Whereabouts_LastObserved	Last observed		
$Whereabouts_UnknownNpc	Unknown NPC		
$Whereabouts_LastLocationUnknown	Last location unknown		
$Whereabouts_ResultSummary	{} shown / {} matches		{} {}
$Whereabouts_ShowMore	Show {} more - click		{}
$Whereabouts_RefineSearch	{} shown / refine your search to see the remaining {}		{} {}
$Whereabouts_SearchError	Search error: {}		{}
$Whereabouts_SettingsError	Settings error: {}		{}
$Whereabouts_TrackingCapacity	Active markers: {} / 100 | Missing bodies: {}		{} {}
$Whereabouts_RemovedUnavailableOne	Removed {} unavailable entry.		{}
$Whereabouts_RemovedUnavailableMany	Removed {} unavailable entries.		{}
$Whereabouts_CopiedIdentity	Copied {} {}.		{} {}
$Whereabouts_CopiedIdentityFallback	No {} - copied {} {}.		{} {} {}
$Whereabouts_NoLocationId	No ID is available for this location.		
$Whereabouts_LocationCopyHelp	Choose which location value to copy.		
$Whereabouts_LiveResults	Live results		
$Whereabouts_LiveResultsHelp	Maximum rows shown while typing.		
$Whereabouts_FullResults	Full results		
$Whereabouts_FullResultsHelp	Maximum rows shown after Search or Enter.		
$Whereabouts_ShowAllResults	Show all results		
$Whereabouts_ShowAllResultsTooltip	Removes both result limits; the scroll area still keeps the menu responsive.		
$Whereabouts_RemovePluginFilter	Remove this plugin filter.		
$Whereabouts_RequestQueued	{} request queued.		{}
$Whereabouts_CommandCompleted	{} completed.		{}
$Whereabouts_UninstallFailureDetail	{} Do not uninstall Whereabouts yet.		{}
$Whereabouts_DifferentWorldspaceTrackNotice	{} The NPC is in a different worldspace, so its quest marker may not appear on the map until you enter that worldspace.		{}
$Whereabouts_TrackedNpcFallback	Tracked NPC		
$Whereabouts_TrackedDeathBy	{} was killed by {}.		{} {}
$Whereabouts_TrackedDeath	{} has died.		{}
$Whereabouts_IndexRefreshed	Search index refreshed. {} NPCs and {} locations available.		{} {}
$Whereabouts_IndexRefreshQueued	Search index refresh queued.		
$Whereabouts_IndexRefreshRunning	Search index refresh already in progress.		
$Whereabouts_IndexReady	Search index is ready.		
$Whereabouts_IndexRefreshCouldNotStart	Search index refresh could not start.		
$Whereabouts_UninstallCleanupComplete	Whereabouts cleanup completed. Make a new manual save, exit Skyrim completely, and then remove the mod. Intentional NPC movement or enabled/disabled state changes are not reverted.		
$Whereabouts_UninstallAlreadyRunning	Uninstall cleanup is already running.		
$Whereabouts_UninstallAlreadyComplete	Whereabouts cleanup is already complete. Make a new manual save and exit Skyrim.		
$Whereabouts_UninstallClearing	Clearing Whereabouts save data and tracking quest...		
$Whereabouts_UninstallTaskUnavailable	SKSE task interface is unavailable; do not uninstall yet.		
$Whereabouts_EnableRequested	Enable requested; verification will finish after Skyrim resumes.		
$Whereabouts_DisableRequested	Disable requested; verification will finish after Skyrim resumes.		
$Whereabouts_NpcEnabled	NPC enabled.		
$Whereabouts_NpcDisabled	NPC disabled.		
$Whereabouts_EnableUnconfirmed	Enable was requested, but the NPC's enabled state could not be confirmed.		
$Whereabouts_DisableUnconfirmed	Disable was requested, but the NPC's disabled state could not be confirmed.		
$Whereabouts_TrackingClearQueued	Tracking clear queued.		
$Whereabouts_TrackedBodyMarked	Tracked body remains marked.		
$Whereabouts_TrackedBodyUnavailable	Tracked body is no longer available.		
$Whereabouts_TrackCompleted	Track completed.		
$Whereabouts_TrackIncomplete	Track did not complete.		
$Whereabouts_UntrackCompleted	Untrack completed.		
$Whereabouts_UntrackIncomplete	Untrack did not complete.		
$Whereabouts_TrackingClearCompleted	Tracking clear completed.		
$Whereabouts_TrackingClearIncomplete	Tracking clear did not complete.		
$Whereabouts_UninstallOperationCompleted	Uninstall cleanup completed.		
$Whereabouts_UninstallOperationIncomplete	Uninstall cleanup did not complete.		
$Whereabouts_TrackAliasFailure	Track did not acquire a tracking alias.		
$Whereabouts_UntrackAliasFailure	Untrack did not release the tracking alias.		
$Whereabouts_UninstallAliasFailure	Uninstall cleanup did not clear every tracking alias.		
$Whereabouts_TrackingSessionEnded	The game session ended before tracking completed.		
$Whereabouts_UninstallQuestStopFailure	Whereabouts tracking quest did not stop; do not uninstall yet.		
$Whereabouts_UninstallVerifyFailure	Whereabouts quest cleanup could not be verified; do not uninstall yet.		
$Whereabouts_UninstallPreparedHeading	Prepared for Uninstall		
$Whereabouts_UninstallLockedPage	Whereabouts is locked because cleanup completed. Open Settings to resume, or make a new manual save, quit Skyrim completely, and remove the mod.		
$Whereabouts_UninstallPreparedInstructions	Tracking markers and Whereabouts save lists are cleared. Make a new manual save, quit Skyrim completely, and remove the mod.		
$Whereabouts_UninstallResumeExplanation	Changed your mind? Resume starts Whereabouts again with empty tracking, Favorites, Recent, and tracked-death history.		
$Whereabouts_UninstallResumeButton	Resume Whereabouts		
$Whereabouts_UninstallResumeSessionUnavailable	The current game session is not ready. Whereabouts remains prepared for uninstall.		
$Whereabouts_UninstallResumed	Whereabouts resumed with empty mod data. Refreshing the Search index...		
$Whereabouts_ResumePending	Restarting tracking. Close the SKSE menu briefly so Skyrim can finish, then reopen Settings.		
$Whereabouts_ResumeReady	Whereabouts resumed. Tracking is ready; saved lists remain empty.		
$Whereabouts_ResumeFailed	Tracking could not resume. Whereabouts remains locked; retry Resume or reload a save from before cleanup.		
$Whereabouts_PreparedReloadHelp	Reloading a save while Whereabouts is still installed resumes the mod. To uninstall, save after cleanup and quit without reloading.		
$Whereabouts_RemoveUnavailableHelp	Removes entries from missing plugins. Temporarily unavailable NPCs are kept.		
$Whereabouts_FavoriteSaveFailed	Favorite could not be saved. The list is full or the NPC identity or name is invalid.		
$Whereabouts_TrackingObjectiveUnverified	Tracking alias exists, but its active map objective could not be verified. Try Track again.		
$Whereabouts_TrackingStartFailed	Tracking quest could not be started		
$Whereabouts_TrackingTargetUnavailable	Tracking target is unavailable		
$Whereabouts_TrackingLayoutInvalid	Tracking quest layout is invalid		
$Whereabouts_TrackingUnavailable	Tracking quest is unavailable		
$Whereabouts_TrackingScriptNotReady	Tracking quest script did not become ready		
